#,VC NAME,WEBSITE,CONTACT,Country,HQ City,
1,83 North,https://www.83north.…,,UK,London,
2,186 Ventures,https://www.186ventu…,https://www.186ventures.co…,USA,Boston,
3,1776 Ventures ,https://www.1776.ven…,kathleen@1776.vc,USA,Washin…,
4,2048 Ventures,https://www.2048.vc/,https://form.typeform.com/t…,USA,Boston,
5,Acequia Capital,https://www.acecap.c…,info@acecap.com,USA,Seattle,
6,Act One Ventures,https://actoneventure…,info@actoneventures.com,USA,Santa M…,
7,Alpine Meridian Ventures,http://www.alpinemeri…,bbenedict@alpinemeridian.…,USA,New York,
8,Amplo,http://amplovc.com/,,USA,Spring,
9,Andgo Partners,http://www.andgopart…,info@andgopartners.com,Hungary,Budapest,
10,Andreessen Horowitz,https://a16z.com/,businessplans@a16z.com,USA,Menlo P…,
11,APX,https://apx.vc/,hello@apx.vc,Germa…,Berlin,
12,Atomico,https://www.atomico.…,contact@atomico.com,UK,London,
13,AXA Venture Partners,https://www.axavp.co…,https://www.axavp.com/con…,France,Paris,
14,Backstage Capital ,http://backstagecapit…,https://backstagecapital.co…,USA,West H…,
15,Bain Capital Ventures,www.baincapitalventu…,BCV@baincapitalventures.c…,USA,Boston,
16,Balderton,https://www.balderto…,https://bt25.typeform.com/t…,UK,London,
17,Balderton,https://www.balderto…,https://bt25.typeform.com/t…,UK,London,
18,Battery Ventures,https://www.battery.c…,,USA,Boston,
19,Bee Partners,https://www.beepartn…,https://beepartners.typefor…,USA,San Fra…,
20,Bessemer Venture Partners,www.bessemervp.com,businessplans@bvp.com,USA,Boston,
21,Blue Collective,https://bluecollective.…,blue@bluecollective.com,USA,New York,
22,Bolt,https://bolt.io/,https://bolt.io/pitch,USA,San Fra…,
23,Boston Blue Sky,https://www.bostonbl…,steve@BostonBlueSky.com,USA,Boston,
24,Bow Capital,https://bowcapital.com/,contact@bowcapital.com,USA,San Fra…,
25,Brainchild Holdings,https://brainchild.co/,inquiries@brainchildco.com,USA,New York,
26,Brookly Bridge Ventures,http://www.brooklynb…,charlie@brooklynbridge.vc,USA,New York,
27,Cabot Square Capital,http://www.cabotsqua…,contact@cabotsquare.com,UK,London,
28,Caffeinated Capital,https://caffeinatedca…,https://airtable.com/shrw2E…,USA,San Fra…,
29,Capital X,https://capitalx.comp…,cindy@capitalx.com,USA,San Fra…,
30,Capnamic Ventures,https://capnamic.com/,info@capnamic.com,Germa…,Berlin,
31,Cherry Ventures,http://www.cherry.vc/,investors@cherry.vc,Germa…,Berlin,
32,Collaborative Fund,https://www.collabora…,ian@collaborativefund.com,USA,San Fra…,
33,Connetic Ventures ,https://connetic.ventu…,info@connetic.ventures,USA,Covingt…,
34,Creandum,https://www.creandu…,hello@creandum.com,Sweden,Stockh…,
35,Crosscut Ventures ,https://crosscut.vc/,https://crosscut.vc/contact/,USA,Los Ang…,
36,daphni,http://daphni.com/,https://apply.daphni.com/?_…,France,Paris,
37,Dawn Capital,http://dawncapital.com/,hello@dawncapital.com,UK,London,
38,Endeit Capital,www.endeit.com,info@endeit.com,Nether…,Amster…,
39,Enern,https://enern.eu/,contact@enern.eu,Poland,Warsaw,
40,Engineering Capital,https://www.engineeri…,contact@engineeringcapital…,USA,Mountai…,
41,Eniac Ventures,https://eniac.vc/,https://eniac.vc/pitch/,USA,New York,
42,Entree Capital,http://entreecap.com/,info@entreecapital.vc,UK,London,
43,F-Prime Capital,www.fprimecapital.com,info@fprimecapital.com,USA,Boston,
44,Fairhaven Capital,www.fairhavencapital.…,info@fairhavencapital.com,USA,Boston,
45,Fin VC,https://finvc.co/,press@finvc.co,USA,San Fra…,
46,FinSight Ventures,https://www.finsightv…,,USA,San Fra…,
47,FirstMark Capital,https://firstmarkcap.c…,info@firstmarkcap.com,USA,New York,
48,FJ Labs,http://www.fjlabs.com/,,USA,New York,
49,Flint Capital,www.flintcap.com,info@flintcap.com,USA,Boston,
50,Fly VC,https://www.fly.vc/,hello@fly.vc,Germa…,Berlin,
51,Form Ventures,https://www.formvent…,info@fromventures.vc,UK,London,
52,Founders Club,https://fundersclub.c…,https://fundersclub.com/co…,USA,San Fra…,
53,Frontline Ventures,https://www.frontline.…,https://submit.mydealflow.c…,Ireland,Dublin,
54,Fusion Fund ,https://www.fusionfun…,https://www.fusionfund.com…,USA,Palo Alto,
55,General Catalyst,www.generalcatalyst.…,info@generalcatalyst.com,USA,Boston,
56,General Catalyst,www.generalcatalyst.…,info@generalcatalyst.com,USA,Boston,
57,GrandBanks Capital,www.grandbankscapi…,info@grandbankscapital.com,USA,Boston,
58,Great Hill Partners,https://www.greathillp…,,USA,Boston,
59,Great Oaks Venture Capital ,http://www.greatoaks…,info@greatoaksvc.com,USA,New York,
60,Great Oaks Venture Capital ,http://www.greatoaks…,info@greatoaksvc.com,USA,New York,
61,Greylock Partners,www.greylock.com,businessplans@greylock.com,USA,Boston,
62,Greylock Partners,www.greylock.com,businessplans@greylock.com,USA,Boston,
63,Group 11,https://group11.vc/,info@group11.vc,USA,Los Ang…,
64,Hack VC,https://hack.vc/,contact+letsconnect@hack.…,USA,San Fra…,
65,Hambro Perks,www.hambroperks.com,info@hambroperks.com,UK,London,
66,Highland Capital Partners,www.hcp.com,laurel@hcp.com,USA,Boston,
67,Highland Europe,https://www.highland…,https://www.highlandeurop…,UK,London,
68,Homebrew,www.homebrew.co,satya@homebrew.co,USA,San Fra…,
69,Hoxton Ventures,https://www.hoxtonve…,businessplans@hoxton.vc,UK,London,
